scenario,policy,step_idx,controller_queue,controller_latency_ms,attack_leakage_rate,critical_slice_survival_rate,ai_deadline_miss_rate,overall_sla_rate
ai_spike,static_qos,10,0,5.14,0.0,1.0,0.5,0.8333
ai_spike,static_qos,11,0,5.188,0.0,1.0,0.5,0.6667
ai_spike,static_qos,12,0,5.116,0.0,1.0,0.5,0.8333
ai_spike,static_qos,13,0,5.212,0.0,1.0,0.5,0.75
ai_spike,static_qos,14,0,5.2,0.0,1.0,0.5,0.75
ai_spike,static_qos,15,0,5.2,0.0,1.0,0.5,0.75
ai_spike,static_qos,16,2,5.304,0.0,1.0,0.5,0.5833
ai_spike,static_qos,17,1,5.24,0.0,1.0,0.5,0.5833
ai_spike,throughput_first,0,0,4.912,0.0,1.0,0.0,0.8333
ai_spike,throughput_first,1,0,4.996,0.0,1.0,0.0,0.75
ai_spike,throughput_first,2,0,4.924,0.0,1.0,0.0,0.75
ai_spike,throughput_first,3,0,4.924,0.0,1.0,0.0,0.75
ai_spike,throughput_first,4,0,4.924,0.0,1.0,0.0,0.75
ai_spike,throughput_first,5,0,4.864,0.0,1.0,0.0,0.75
ai_spike,throughput_first,6,6,5.248,0.0,1.0,0.0,0.75
ai_spike,throughput_first,7,8,5.256,0.0,1.0,0.0,0.75
ai_spike,throughput_first,8,12,5.392,0.0,1.0,0.0,0.75
ai_spike,throughput_first,9,25,5.864,0.0,1.0,0.0,0.75
ai_spike,throughput_first,10,36,6.148,0.0,1.0,0.0,0.75
ai_spike,throughput_first,11,51,6.616,0.0,1.0,0.0,0.75
ai_spike,throughput_first,12,60,6.796,0.0,1.0,0.0,0.75
ai_spike,throughput_first,13,77,7.368,0.0,0.6667,0.1667,0.6667
ai_spike,throughput_first,14,93,7.804,0.0,1.0,0.0,0.75
ai_spike,throughput_first,15,109,8.252,0.0,1.0,0.0,0.75
ai_spike,throughput_first,16,129,8.86,0.0,1.0,0.0,0.75
ai_spike,throughput_first,17,146,9.3,0.0,1.0,0.0,0.75
